Name,CNSig1,CNSig2,CNSig3,CNSig4,CNSig5,CNSig6
OK102,0.071857836,0.072563911,0.085063415,0.087739251,0.123023797,0.559751791
OK103,0,0,0.330899603,0,0,0.669100397
OK104,NA,NA,NA,NA,NA,NA
OK105,0.251282411,0.099489738,0.232760824,0.118047969,0.114768816,0.183650243
OK106,0.097469751,0.467382995,0.110904773,0.049768775,0.044458727,0.230014978
OK108,NA,NA,NA,NA,NA,NA
OK109,0.513466221,0.126590747,0.155451152,0.129444494,0.075047386,0
OK110,NA,NA,NA,NA,NA,NA
OK111,NA,NA,NA,NA,NA,NA
OK112,0,0,0.524661914,0,0,0.475338086
OK113,NA,NA,NA,NA,NA,NA
OK114,0.051156569,0.190765705,0.448563205,0.19140787,0,0.118106651
OK115,0,0.440663774,0.243959259,0.104325013,0.050101857,0.160950096
OK118,0.132813884,0.15854064,0.319116869,0.185135537,0,0.204393071
OK119,0,0.065683588,0,0,0,0.934316412
OK120,NA,NA,NA,NA,NA,NA
OK121,NA,NA,NA,NA,NA,NA
OK122,NA,NA,NA,NA,NA,NA
OK123,NA,NA,NA,NA,NA,NA
OK124,0.192737579,0.093284402,0.474088108,0.173027852,0.06686206,0
OK125,0,0.065964677,0,0,0,0.934035323
OK126,0,0,0.31758848,0,0,0.68241152
OK127,0,0.04621209,0,0,0,0.95378791
OK128,0.22797649,0.028778991,0.145369709,0.162376226,0.222150331,0.213348254
OK129,0.026604101,0,0.850426834,0,0,0.122969065
OK130,0.057149023,0.434014747,0.298572934,0.01133907,0,0.198924225
OK131,0,0,1,0,0,0
OK132,0.021529875,0,0.793312329,0,0,0.185157795
OK133,0.052632281,0.413404435,0.29601412,0,0,0.237949164
OK134,0.464806438,0.154735076,0.146409853,0.043103744,0.10632398,0.08462091
OK135,0.129083999,0,0.29257248,0.03498757,0.472410242,0.070945708
OK136,0.214343213,0.040898861,0.44963343,0.199245279,0.016752462,0.079126755
OK137,0.406611078,0.128690306,0.09505291,0.069553946,0.267547783,0.032543978
OK138,NA,NA,NA,NA,NA,NA
OK139,0.219992612,0.07969065,0.1973989,0.105486842,0.272087821,0.125343175
OK140,0.227956716,0.079973162,0.23913517,0.097321913,0.065731465,0.289881574
OK141,0.09677066,0.011330386,0.868669766,0,0.023229189,0
OK142,0.285526091,0.023030834,0.238682487,0.110137413,0.268540056,0.074083119
OK143,0.289798781,0.042129159,0.278225355,0.275997151,0.010462221,0.103387334
